week_num,rank_q,c_name_eng,online_quantity,online_ratio,single,dual,cylinder,drum,energy_grade_1,energy_grade_2,energy_grade_3,energy_grade_4,energy_grade_5,energy_grade_x,vol_under_4.4,vol_under_4.9,vol_under_5.4,vol_under_5.9,vol_under_6.4,vol_under_6.9,vol_under_7.4,vol_under_7.9,vol_over_8.0,price_under_200,price_under_400,price_under_600,price_under_800,price_under_1000,price_under_1200,price_under_1400,price_under_1900,price_under_2400,price_under_2900,price_under_3400,price_under_4400,price_over_4401,offline_quantity,offline_ratio,online_amount,online_amount_ratio,offline_amount,offline_amount_ratio,date
33,4,siemens,8665,0.061642325,NA,NA,NA,0.061642325,0.047457121,0.014149635,NA,NA,NA,3.56E-05,NA,NA,2.85E-05,NA,0.027879547,1.42E-05,0.014334597,0.002063044,0.017322454,NA,NA,NA,NA,NA,NA,NA,NA,0.012328465,0.004809026,0.006615968,0.028676308,0.009212558,10975,0.086060882,29891.155,0.162747692,45465.379,0.146544448,2015-08-10
33,5,galanz,7847,0.055823119,NA,NA,0.010528637,0.045294482,0.004965533,0.040321835,0.010528637,NA,NA,7.11E-06,NA,NA,NA,NA,0.04554347,0.004026492,0.006253157,NA,NA,NA,NA,NA,0.007924934,0.014199432,0.021733099,0.006146448,0.005705383,0.000106709,NA,7.11E-06,NA,NA,412,0.003230714,8428.673,0.045891404,432.539,0.001394164,2015-08-10
33,6,lg,7680,0.05463509,NA,NA,0.002340488,0.052294603,0.031123505,0.023291053,0.000128051,NA,NA,9.25E-05,0.000128051,NA,NA,NA,0.021306262,0.000853673,0.000924813,0.000128051,0.03129424,NA,NA,NA,NA,NA,NA,7.11E-06,0.000903471,0.021697529,0.021633504,0.004858824,0.004446215,0.001088433,3663,0.028723554,20243.653,0.110220157,13468.23,0.043410929,2015-08-10
33,7,sanyo,7304,0.051960247,NA,NA,0.029160057,0.022800191,0.0050509,0.007910706,0.037974233,0.000889243,NA,0.000135165,0.000889243,NA,0.003471605,0.004303936,0.011055069,0.003258186,0.017671037,0.003720593,0.007590578,NA,NA,NA,0.005107812,0.016390527,0.005349686,0.004389303,0.013288847,0.00353563,0.001145345,0.001842512,0.000711394,0.00019919,8827,0.069217258,10288.112,0.05601545,19810.83,0.063854458,2015-08-10
33,18,hisense,1323,0.009411748,NA,NA,0.008714581,0.000697167,0.000142279,0.000682939,0.008579417,NA,NA,7.11E-06,NA,NA,0.004339506,7.11E-06,0.003414693,NA,0.001614865,7.11E-06,2.85E-05,NA,NA,NA,0.005136268,0.003258186,0.000170735,0.000334355,0.000441065,3.56E-05,2.13E-05,NA,7.11E-06,7.11E-06,2580,0.020231169,1146.386,0.006241702,4191.302,0.013509445,2015-08-10
34,1,haier,34594,0.189420197,0.002650152,0.004139494,0.137145392,0.045485159,0.054612853,0.005809529,0.111021678,0.000202594,2.19E-05,0.017751641,0.0060395,NA,0.012073525,0.014619643,0.041865839,0.00656515,0.079197946,0.015096013,0.01396258,NA,0.002715859,0.002075223,0.011744994,0.057175397,0.04622983,0.004577536,0.012506092,0.02340238,0.012511567,0.006592528,0.008717031,0.001171762,26619,0.230573337,51872.975,0.205170583,59274.304,0.222020682,2015-08-17
34,4,siemens,15287,0.0837043,NA,NA,NA,0.0837043,0.069451517,0.01421993,NA,NA,NA,3.29E-05,NA,NA,2.74E-05,5.48E-06,0.027284525,NA,0.035634695,0.002737761,0.018014466,NA,NA,NA,NA,NA,NA,5.48E-06,NA,0.01300984,0.004435173,0.031741599,0.026567231,0.007944982,9873,0.085519762,51734.052,0.204621108,41144.697,0.154113555,2015-08-17
34,5,sanyo,12435,0.068088112,NA,NA,0.042889761,0.025198351,0.003997131,0.014132321,0.048666437,0.001127957,NA,0.000164266,0.001111531,NA,0.003641222,0.009724527,0.007014143,0.009899743,0.029923726,0.002036894,0.004736326,NA,NA,NA,0.012851049,0.025932071,0.002748712,0.002967733,0.015599761,0.004774655,0.001144384,0.000826804,0.000991069,0.000251874,8196,0.070993616,15888.33,0.062842317,17750.364,0.066486617,2015-08-17
34,6,galanz,8095,0.044324348,NA,NA,0.007643828,0.03668052,0.0036686,0.03301192,0.007643828,NA,NA,NA,NA,NA,NA,NA,0.037715393,0.002984159,0.003624795,NA,NA,NA,NA,NA,0.004922494,0.013918776,0.01747239,0.004626816,0.003356495,2.74E-05,NA,NA,NA,NA,329,0.002849793,8537.653,0.033768552,346.158,0.001296586,2015-08-17
34,7,lg,7418,0.04061742,NA,NA,0.001883579,0.03873384,0.022559149,0.017888529,7.67E-05,NA,NA,9.31E-05,7.67E-05,NA,NA,NA,0.016448467,0.000454468,0.000980118,0.000104035,0.022553674,NA,NA,NA,NA,NA,1.10E-05,1.10E-05,0.008377548,0.009417897,0.017592851,0.001193664,0.003553614,0.000459944,4143,0.035886597,18956.849,0.074979076,14382.936,0.053873416,2015-08-17
