site_product_cd,product_nm,review_n,발색,커버력,밀착력_지속력,세정력,향,흡수력,보습력,안티에이징_미백,천연,휴대성,가성비,사용편리성
P00004842,로즈워터 수딩젤,7,0.9,0,0,1.3,1.5,1.8,3.9,2.1,2.5,2,4.4,0
SPR20150317000007862,[대용량] 알파인 베리 워터리 크림 리미티드 에디션,7,1,0,1.1,0,0,1.8,3.4,1.3,1.6,0,1.6,0
SPR20160428000017968,세라마이드 아토 집중 크림,7,1.8,0,1.9,1.8,3.1,3,2.3,2.4,5,2.8,4.5,2.4
SPR20160906000023169,UV 미스트 쿠션 울트라 모이스처,7,0.9,1.7,2.4,1.3,0.5,1.1,1.7,1.8,1,0,1.9,1.3
SPR20170220000027501,매직 스타터 SPF25 PA++,7,2,5,2.3,1.3,1.5,1.3,0.6,0.9,0.9,1.9,0,0
SPR20170321000028395,에어쿠션® 커버,7,2,1.9,2.9,0,0,2,1.9,0.9,1.1,1.8,0,1.6
SPR20170814000031590,그린티 밸런싱 로션,7,2.1,3.5,1.9,1.3,1.8,2.9,1.9,2,2.1,0,3.9,0
SPR20170825000032034,자연발효 에너지 오일,7,2.3,0,0.9,2,0.4,3.6,2.4,4.3,2.4,3.5,0.7,1.6
SPR20170828000032096,몬스터 미셀라 클렌징 워터,7,1,0,0,5,0,1.1,0,0,1.8,0,0.9,0
SPR20171229000035455,윤조에센스 12지신 컬렉션 (황금개 제외),7,1,0,0,0,1.6,1.3,1.1,0.9,0.6,0,0,0
000026412,선 메이트 데일리 SPF35 PA+++,6,5,0,1.9,1.4,0,1.5,1.4,1.8,0.9,5,1.4,0.9
000026786,상백크림,6,1.3,0,2.3,0,0,2,0.6,3.9,1.1,0,0,0
P00000440,메타그린,6,0,0,0,1.3,0.5,1.7,0.9,2.4,1.9,2.6,0,3.2
P00004120,워터뱅크 에센스 EX,6,2.1,2.7,1.9,1.3,0,2.4,3,3.4,0.9,1.7,1.7,5
P00004284,[NEW] 알파인 베리 워터리 오일-프리 젤 크림,6,1.5,0,0,0,2.9,3,2.9,2.4,2.9,0,1.4,0
SPR20160323000016928,어린쑥 수분진정 토너 ,6,0.9,0,0,1.2,4.6,1.8,5,1.6,2.2,2.2,2.8,1.5
SPR20160725000021915,오일 샤인 스틱,6,5,0,1.6,2,0,1.3,2.4,2.3,1.9,0,0,4.1
SPR20160812000022612,서리태 새결 크림,6,1,0,2.6,1.9,0.4,4.4,3.5,4.9,1.9,0,0,0
SPR20161226000025830,투톤 틴트 립 바,6,5,2.7,0.9,1.3,0.4,0.9,2.2,4.4,0.7,2.8,0,1.2
SPR20170321000028392,에어쿠션® 인텐스 커버 ,6,1.6,1.7,2.8,0,0,0,0,0,0.6,4.7,0,1.6
SPR20170808000031458,프루프10 아이 프라이머,6,3.3,0,4.7,2.3,0,1.4,1.2,1,0.7,0,5,1.9
SPR20170818000031786,수딩 센서티브 에센스,6,1.1,1.7,0,0,0,2,2.2,2.5,3.2,0,0.7,0
SPR20180102000035488,윤조에센스 12지신 황금개 리미티드 에디션,6,0,0,0,0,1.3,2.9,1.1,0.9,1.7,0,2.1,0
000026736,어반 베일 CC크림,5,2.8,2.1,3.3,0,0,1.6,2.2,0.9,0,4.1,1,2
P00001620,탄력크림,5,3.6,0,2.9,0,5,4.5,1.6,1.5,1.9,1.7,2.7,1.6
P00004585,여성청결제,5,2,0,2,4,5,2.3,1.2,1.5,5,0,4.6,0
SPR20150309000007724,시그니아 크림,5,1.5,1.6,1.5,2.7,0,2.9,1.1,5,1.2,0,0,0
SPR20150826000010988,내추럴 베리 립밤,5,5,0,3.6,0,1.5,0.8,0,0,0,0,3.1,0
SPR20150914000011524,플라워 퍼퓸드 핸드크림,5,2.6,0,0,1.3,3.4,3.4,0.6,0,1.8,0,0,0
SPR20150915000011541,모이스처 세라마이드 인텐스 크림,5,1.5,0,1.9,0,3,2.2,1.9,1.4,1.9,0,0,0
SPR20160226000016048,선 메이트 프로텍터 SPF50+ PA+++,5,3,0,1.2,1.7,1.1,2.5,0.9,5,0.8,1.7,5,1.7
SPR20160801000022130,루즈 홀릭 익셉셔널,5,5,3.3,5,5,1,1.7,0.6,2.5,1.1,3.6,1.5,2
SPR20160819000022770,아이브로우 쿠션-카라,5,2.1,0,2.1,1.4,0.7,1.6,0,5,1.2,2.5,0,3.9
SPR20161226000025831,워터뱅크 더블 레이어링 오일,5,1,0,0,1.4,1.2,2.4,3.5,3.8,1.2,1.7,0,1.4
SPR20170123000026628,라이브 리프트 세럼,5,1,0,0.9,1.8,3.8,4.1,2.5,5,5,2,1.7,2
SPR20170217000027469,빈티지 싱글 익스트렉트 에센스,5,1.1,0,0,0,1.5,2.3,4,3.3,2.9,0,0.7,0
SPR20170220000027502,선 메이트 레포츠 SPF50+ PA++++,5,0,5,1.1,0,2.6,2.6,0.6,0.9,0.9,0,0,2.6
SPR20170315000028208,흰감국 광채 크림 SPF35/PA++ ,5,2.2,1.7,0,1.3,1.2,1.8,3.2,5,0.9,1.9,1,1.4
SPR20170417000028917,[NEW] 히아루로닉 세럼,5,1.3,1.7,1.9,0,2.5,4.3,5,2.3,4.6,1.9,0.4,2.7
SPR20170428000029212,퍼펙트 세럼 로즈 에디션,5,2.6,0,0.9,5,5,3.1,0,3.1,1.7,0,0,1
SPR20170808000031460,플레이 컬러 아이즈,5,5,2.7,3.7,0,0,0.8,0,2.8,0.6,1.9,1.9,2.1
SPR20170809000031469,프로 테일러 리퀴드 파운데이션 EX SPF 25 PA++,5,3.7,5,3.5,0,0,0,0,0.9,0.6,0,1.5,0.7
SPR20170809000031480,꾸뛰르 립 플루이드 벨벳,5,5,0,2.8,0,0,0,0,0,0,0,0.4,0
SPR20170814000031589,그린티 밸런싱 스킨,5,0.9,0,0,0,0.9,1.6,4.6,1.2,2,2,2.3,0
SPR20170821000031830,애플 씨드 립앤아이 메이크업 리무버,5,2,0,0,5,0,0.9,1.6,2.4,4.9,0,2.2,1.4
SPR20170821000031836,데일리 유브이 프로텍션 크림 노 세범 SPF35 PA+++,5,2.1,0,1.9,2,1.7,2.6,0.6,1.8,0.6,1.7,0,1.6
SPR20170825000032045,노세범 파우더 크림,5,0.9,0,2.6,0,0,0.9,0.6,0,0.7,1.8,0,0.7
