date,detail,cash,credit,creditType,category,tag,waste
2010년04월23일,LIG 손해보험-현... 사용대금 (2010.03.12 ~ 2010.04.11),764980,0,,카드대금>LIG 손해보험-현,,
2010년04월23일,도미노피자,0,20440,LIG 손해보험-현,식비>외식,,
2010년04월24일,병천순대,0,58000,LIG 손해보험-현,식비>외식,,
2010년04월24일,게임방,4000,0,,건강/문화>기타,,
2010년04월24일,담배값,2500,0,,용돈/기타>담배,,
2010년04월25일,보험비,40000,0,,저축/보험>보험,"고정비용,",
2010년04월25일,담배값(아버지),3000,0,,용돈/기타>담배,,
2010년04월25일,아이스크림,2000,0,,식비>간식,,
2010년04월26일,핸드폰 요금,67480,0,,주거/통신>이동통신,,
2010년04월28일,동생용돈,100000,0,,용돈/기타>용돈,,
2010년04월28일,회비(막창집),28100,0,,경조사/회비>모임회비,,
2010년04월29일,버거킹,7000,0,,식비>평일점심,,
2010년04월29일,콜라1L,1400,0,,식비>커피/음료,,
2010년04월30일,만두칼국수(명인만두),5000,0,,식비>평일점심,,
2010년04월30일,저녁(제육덮밥),4500,0,,식비>외식,,
2010년04월30일,게임방,4000,0,,건강/문화>기타,,
2010년05월01일,게임방,3000,0,,건강/문화>기타,,
2010년05월01일,육회마을,0,29000,LIG 손해보험-현,식비>술/유흥,,
2010년05월02일,이발,0,10000,LIG 손해보험-현,의복/미용>헤어/뷰티,,
2010년05월02일,칫솔2개,0,6400,LIG 손해보험-현,생활용품>주방/욕실,,
2010년05월02일,면도기날,0,9900,LIG 손해보험-현,생활용품>주방/욕실,,
2010년05월02일,콜라1.5L,0,1850,LIG 손해보험-현,식비>커피/음료,,
2010년05월02일,담배값,2500,0,,용돈/기타>담배,,
2010년05월02일,기타잡비,20000,0,,용돈/기타>기타,,
2010년05월03일,점심값,5000,0,,식비>평일점심,,
2010년05월04일,담배값,2500,0,,용돈/기타>담배,,
2010년05월04일,회비밀린것,7500,0,,경조사/회비>모임회비,,
2010년05월06일,점심값,6000,0,,식비>평일점심,,
2010년05월07일,점심값,5000,0,,식비>평일점심,,
2010년05월07일,담배값,2500,0,,용돈/기타>담배,,
2010년05월08일,카네이션,7000,0,,용돈/기타>선물,,
