date,detail,income,category,tag
2013년11월14일,복리후생비,258000,부수입>복리후생,
2013년11월25일,월급,3450254,주수입>급여,
2013년12월01일,11월 전월이월 잔액,12995191,전월이월>전월이월,
2013년12월05일,카드깡,22000,부수입>카드깡,
2013년12월24일,월급,3274087,주수입>급여,
2014년01월01일,12월 전월이월 잔액,10602203,전월이월>전월이월,
2014년01월24일,월급,3237777,주수입>급여,
2014년02월01일,01월 전월이월 잔액,10196480,전월이월>전월이월,
2014년02월07일,신한은행 예금이자,139965,부수입>이자/배당금,
2014년02월07일,신한은행 예금만료,5000000,저축/보험>예금,
2014년02월07일,우리은행 예금만료,5000000,저축/보험>예금,
2014년02월15일,우리은행 예금이자,168465,부수입>이자/배당금,
2014년02월25일,월급,2806952,주수입>급여,
2014년02월25일,"곗돈 (200,000원짜리)",1400000,저축/보험>기타,
2014년03월01일,02월 전월이월 잔액,11099092,전월이월>전월이월,
2014년03월12일,복리후생비,250113,부수입>복리후생,
2014년03월25일,월급,3359097,주수입>급여,
2014년03월26일,곗날,10000000,저축/보험>기타,
2014년03월26일,곗돈이자,680000,부수입>이자/배당금,
2014년03월28일,실비보험청구,78800,부수입>기타,
2014년04월01일,03월 전월이월 잔액,18406552,전월이월>전월이월,
2014년04월25일,월급,3971105,주수입>급여,
2014년04월28일,이자,100000,부수입>이자/배당금,
2014년05월01일,04월 전월이월 잔액,17331207,전월이월>전월이월,
2014년05월18일,예금이자,164335,부수입>이자/배당금,
2014년05월18일,예금해지,14000000,저축/보험>예금,
2014년05월23일,월급,3557383,주수입>급여,
2014년05월27일,이자,100000,부수입>이자/배당금,
2014년06월01일,05월 전월이월 잔액,11852242,전월이월>전월이월,
2014년06월25일,월급,3324825,주수입>급여,
2014년06월25일,이자,100000,부수입>이자/배당금,
2014년06월27일,금일봉,200000,부수입>기타,
2014년07월01일,06월 전월이월 잔액,12607955,전월이월>전월이월,
2014년07월01일,연회비 환급,13398,부수입>기타,
2014년07월25일,월급,3645380,주수입>급여,
2014년07월28일,이자,100000,부수입>이자/배당금,
2014년08월01일,07월 전월이월 잔액,12509710,전월이월>전월이월,
2014년08월08일,카드깡,69000,부수입>카드깡,
2014년08월14일,복리후생 선글라스구매,81480,부수입>복리후생,
2014년08월25일,월급,3662472,주수입>급여,
2014년08월29일,"예금이자(10,300,000 짜리)",112450,부수입>이자/배당금,
2014년08월30일,여행경비 from 현아,706262,부수입>기타,유럽여행
2014년09월01일,08월 전월이월 잔액,10576038,전월이월>전월이월,
