"날짜","yearMonth","category1","category2","detail","현금","카드","카드분류","total","type","totalExpenditure","totalIncome","totalSave"
"2010-04-09","2010-04","교통/차량","택시비C","택시비 정산(3/11~4/10)",0,39300,"LIG 손해보험-현",39300,"expenditure",39300,0,0
"2010-04-09","2010-04","교통/차량","택시비C","택시비(야간)",0,177720,"LIG 손해보험-현",177720,"expenditure",177720,0,0
"2010-04-09","2010-04","교통/차량","대중교통비","대중교통비정산",0,84700,"LIG 손해보험-현",84700,"expenditure",84700,0,0
"2010-04-10","2010-04","식비","외식","저녁식사(소개팅)",0,53460,"LIG 손해보험-현",53460,"expenditure",53460,0,0
"2010-04-10","2010-04","식비","커피/음료","커피숍(소개팅)",0,16500,"LIG 손해보험-현",16500,"expenditure",16500,0,0
"2010-04-10","2010-04","식비","술/유흥","Pup(소개팅)",0,55000,"LIG 손해보험-현",55000,"expenditure",55000,0,0
"2010-04-11","2010-04","의복/미용","의류비","청바지(GAP)",0,115000,"LIG 손해보험-현",115000,"expenditure",115000,0,0
"2010-04-11","2010-04","식비","외식","닭도리탕",0,33000,"LIG 손해보험-현",33000,"expenditure",33000,0,0
"2010-04-12","2010-04","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-04-14","2010-04","식비","술/유흥","고기집",59000,0,NA,59000,"expenditure",59000,0,0
"2010-04-14","2010-04","용돈/기타","기타","등기",2000,0,NA,2000,"expenditure",2000,0,0
"2010-04-14","2010-04","식비","커피/음료","커피빈",9000,0,NA,9000,"expenditure",9000,0,0
"2010-04-14","2010-04","교통/차량","택시비C","택시비",15000,0,NA,15000,"expenditure",15000,0,0
"2010-04-15","2010-04","의복/미용","기타","구두굽교환",13000,0,NA,13000,"expenditure",13000,0,0
"2010-04-16","2010-04","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-04-16","2010-04","건강/문화","기타","게임방",5000,0,NA,5000,"expenditure",5000,0,0
"2010-04-17","2010-04","식비","외식","무스쿠스",36000,0,NA,36000,"expenditure",36000,0,0
"2010-04-17","2010-04","건강/문화","기타","총게임",3000,0,NA,3000,"expenditure",3000,0,0
"2010-04-17","2010-04","용돈/기타","담배","담배값",2000,0,NA,2000,"expenditure",2000,0,0
"2010-04-18","2010-04","식비","간식","간식",5000,0,NA,5000,"expenditure",5000,0,0
"2010-04-19","2010-04","식비","평일점심","점심값",7000,0,NA,7000,"expenditure",7000,0,0
"2010-04-20","2010-04","식비","커피/음료","커피",3500,0,NA,3500,"expenditure",3500,0,0
"2010-04-20","2010-04","용돈/기타","기타","등기",2000,0,NA,2000,"expenditure",2000,0,0
