stopword
있다
되다
하다
그렇다
되다
같다
가다
없다
보다
정도
000원
030원
주세요
어떻다
않다
대하다
위하다
http
news
com
www
kr
html
naver
ids
read
mode
idxno 
lsd 
nhn 
articleview
ooo
srf
mama
gmo
